fecha,ici
2015-01,0.8
2015-02,7.3
2015-03,4.1
2015-04,-0.1
2015-05,0.9
2015-06,0.1
2015-07,0.1
2015-08,2.9
2015-09,6.3
2015-10,2.1
2015-11,-3.3
2015-12,1.3
2016-01,5.3
2016-02,10.4
2016-03,4.1
2016-04,5.9
2016-05,5.2
2016-06,3.7
2016-07,5.5
2016-08,7.9
2016-09,2.5
2016-10,-5.5
2016-11,-4.0
2016-12,-1.2
2017-01,1.9
2017-02,-0.1
2017-03,-0.9
2017-04,-8.5
2017-05,-8.8
2017-06,-5.4
2017-07,-5.9
2017-08,-1.9
2017-09,-3.4
2017-10,-8.7
2017-11,-10.1
2017-12,-4.8
2018-01,0.0
2018-02,1.9
2018-03,0.2
2018-04,2.0
2018-05,0.5
2018-06,2.4
2018-07,5.0
2018-08,5.3
2018-09,3.8
2018-10,1.3
2018-11,-4.3
2018-12,-1.1
2019-01,6.3
2019-02,5.1
2019-03,3.0
2019-04,4.4
2019-05,7.1
2019-06,8.4
2019-07,9.3
2019-08,10.5
2019-09,11.5
2019-10,5.7
2019-11,1.3
2019-12,8.5
2020-01,12.2
2020-02,9.8
2020-03,-35.0
2020-04,-35.8
2020-05,-21.3
2020-06,-20.8
2020-07,-8.5
2020-08,1.5
2020-09,6.1
2020-10,-3.0
2020-11,-6.7
2020-12,-1.6
2021-01,3.7
2021-02,8.2
2021-03,6.8
2021-04,-5.1
2021-05,-3.2
2021-06,5.8
2021-07,16.3
2021-08,15.6
2021-09,20.4
2021-10,12.2
2021-11,15.2
2021-12,11.6
2022-01,12.7
2022-02,15.5
2022-03,13.6
2022-04,10.3
2022-05,14.4
2022-06,11.5
2022-07,9.7
2022-08,7.1
2022-09,7.0
2022-10,-0.4
2022-11,0.1
2022-12,-1.2
2023-07,-0.2
2023-08,3.7
2023-09,0.8
2023-10,-3.7
2023-11,-7.1
2023-12,-4.3
2024-01,0.2
2024-02,-0.3
2024-03,-2.6
2024-04,-3.4
2024-05,-5.4
2024-06,-3.1
2024-07,-1.2
2024-08,-1.4
2024-09,1.3
2024-10,-0.4
2024-11,-2.8
2024-12,-0.2
2025-01,2.0
2025-02,0.2
2025-03,2.1
2025-04,-0.3
2025-05,6.1
2025-06,1.5
2025-07,6.7
2025-08,5.3
2025-09,9.0
2025-10,4.9
2025-11,-4.3
2025-12,-0.7
2026-01,-1.5
2026-02,0.9
2026-03,-2.3
