fecha,tpm
2015-01,4.5
2015-02,4.5
2015-03,4.5
2015-04,4.5
2015-05,4.5
2015-06,4.5
2015-07,4.5
2015-08,4.5
2015-09,4.525
2015-10,4.75
2015-11,5.225
2015-12,5.588709677419355
2016-01,5.75
2016-02,6.068965517241379
2016-03,6.330645161290323
2016-04,6.5
2016-05,6.991935483870968
2016-06,7.316666666666666
2016-07,7.5
2016-08,7.75
2016-09,7.75
2016-10,7.75
2016-11,7.75
2016-12,7.645161290322581
2017-01,7.5
2017-02,7.482142857142857
2017-03,7.209677419354839
2017-04,7.0
2017-05,6.5
2017-06,6.25
2017-07,5.766129032258065
2017-08,5.5
2017-09,5.25
2017-10,5.233870967741935
2017-11,4.966666666666667
2017-12,4.75
2018-01,4.733870967741935
2018-02,4.5
2018-03,4.5
2018-04,4.491666666666666
2018-05,4.25
2018-06,4.25
2018-07,4.25
2018-08,4.25
2018-09,4.25
2018-10,4.25
2018-11,4.25
2018-12,4.25
2019-01,4.25
2019-02,4.25
2019-03,4.25
2019-04,4.25
2019-05,4.25
2019-06,4.25
2019-07,4.25
2019-08,4.25
2019-09,4.25
2019-10,4.25
2019-11,4.25
2019-12,4.25
2020-01,4.25
2020-02,4.25
2020-03,4.217741935483871
2020-04,3.75
2020-05,3.2983870967741935
2020-06,2.75
2020-07,2.5
2020-08,2.2661290322580645
2020-09,1.975
2020-10,1.75
2020-11,1.75
2020-12,1.75
2021-01,1.75
2021-02,1.75
2021-03,1.75
2021-04,1.75
2021-05,1.75
2021-06,1.75
2021-07,1.75
2021-08,1.75
2021-09,1.75
2021-10,2.0
2021-11,2.4833333333333334
2021-12,2.693548387096774
2022-01,3.032258064516129
2022-02,4.0
2022-03,4.0
2022-04,5.0
2022-05,5.967741935483871
2022-06,6.0
2022-07,7.5
2022-08,9.0
2022-09,9.033333333333333
2022-10,10.03225806451613
2022-11,11.0
2022-12,11.419354838709678
2023-01,12.048387096774194
2023-02,12.75
2023-03,12.758064516129032
2023-04,13.0
2023-05,13.241935483870968
2023-06,13.25
2023-07,13.25
2023-08,13.25
2023-09,13.25
2023-10,13.25
2023-11,13.25
2023-12,13.153225806451612
2024-01,13.0
2024-02,12.75
2024-03,12.653225806451612
2024-04,12.25
2024-05,11.766129032258064
2024-06,11.75
2024-07,11.266129032258064
2024-08,10.75
2024-09,10.75
2024-10,10.25
2024-11,9.75
2024-12,9.67741935483871
2025-01,9.5
2025-02,9.5
2025-03,9.5
2025-04,9.5
2025-05,9.258064516129032
2025-06,9.25
2025-07,9.25
2025-08,9.25
2025-09,9.25
2025-10,9.25
2025-11,9.25
2025-12,9.25
2026-01,9.25
2026-02,10.214285714285714
2026-03,10.25
2026-04,11.25
2026-05,11.25
