fecha,trm,trm_var_anual
2015-01,2397.2581,
2015-02,2420.6725,
2015-03,2585.3623,
2015-04,2505.248,
2015-05,2437.5352,
2015-06,2562.4777,
2015-07,2732.0358,
2015-08,3012.5874,
2015-09,3066.408,
2015-10,2929.4723,
2015-11,3001.3763,
2015-12,3244.2016,
2016-01,3270.1952,36.414
2016-02,3354.9569,38.5961
2016-03,3128.789,21.0194
2016-04,2997.727,19.6579
2016-05,2993.5084,22.8088
2016-06,2992.8587,16.7955
2016-07,2960.9997,8.3807
2016-08,2952.7668,-1.9857
2016-09,2924.2653,-4.6355
2016-10,2929.3887,-0.0029
2016-11,3110.2587,3.6277
2016-12,3009.8639,-7.2233
2017-01,2941.3994,-10.0543
2017-02,2879.5668,-14.1698
2017-03,2942.2861,-5.9609
2017-04,2877.8217,-3.9999
2017-05,2923.6129,-2.3349
2017-06,2957.0983,-1.1949
2017-07,3036.5839,2.5527
2017-08,2973.2048,0.6922
2017-09,2917.085,-0.2455
2017-10,2953.7558,0.8318
2017-11,3013.4667,-3.112
2017-12,2991.7619,-0.6014
2018-01,2868.5723,-2.4759
2018-02,2860.2529,-0.6707
2018-03,2847.9306,-3.2069
2018-04,2766.285,-3.8757
2018-05,2861.8258,-2.1134
2018-06,2889.689,-2.2796
2018-07,2885.3219,-4.9813
2018-08,2958.6668,-0.489
2018-09,3033.768,4.0
2018-10,3084.831,4.4376
2018-11,3194.0343,5.992
2018-12,3218.551,7.5805
2019-01,3165.1881,10.3402
2019-02,3115.8386,8.9358
2019-03,3128.6842,9.8582
2019-04,3155.765,14.0795
2019-05,3304.4945,15.4681
2019-06,3260.517,12.8328
2019-07,3206.6003,11.1349
2019-08,3410.729,15.2793
2019-09,3399.457,12.054
2019-10,3433.3116,11.2966
2019-11,3401.473,6.4946
2019-12,3378.0506,4.9556
2020-01,3311.1894,4.6127
2020-02,3411.0528,9.4746
2020-03,3877.0484,23.9195
2020-04,3977.3933,26.0358
2020-05,3858.1916,16.7559
2020-06,3701.6043,13.5281
2020-07,3657.8668,14.0731
2020-08,3783.0258,10.9155
2020-09,3750.2153,10.3181
2020-10,3833.7884,11.6644
2020-11,3685.6267,8.3538
2020-12,3466.1271,2.6073
2021-01,3491.3216,5.4401
2021-02,3554.5043,4.2055
2021-03,3612.7684,-6.8165
2021-04,3650.776,-8.2118
2021-05,3735.6661,-3.1757
2021-06,3685.0427,-0.4474
2021-07,3829.4181,4.6899
2021-08,3881.1835,2.5947
2021-09,3821.5377,1.9018
2021-10,3773.3842,-1.5756
2021-11,3902.901,5.8952
2021-12,3963.1335,14.339
2022-01,3999.6161,14.5588
2022-02,3935.8357,10.7281
2022-03,3807.171,5.381
2022-04,3792.982,3.8952
2022-05,4019.0794,7.5867
2022-06,3930.7667,6.6681
2022-07,4367.8058,14.0593
2022-08,4322.4694,11.3699
2022-09,4433.651,16.0175
2022-10,4711.8303,24.8701
2022-11,4926.6607,26.2307
2022-12,4788.4906,20.8259
2023-01,4715.2039,17.8914
2023-02,4803.1125,22.0354
2023-03,4766.3058,25.1928
2023-04,4542.6743,19.7652
2023-05,4540.089,12.9634
2023-06,4209.268,7.0852
2023-07,4069.2335,-6.8358
2023-08,4070.7252,-5.8241
2023-09,4004.5207,-9.6789
2023-10,4222.4332,-10.3866
2023-11,4038.8047,-18.0215
2023-12,3948.2068,-17.548
2024-01,3915.1987,-16.9665
2024-02,3931.4386,-18.1481
2024-03,3899.3413,-18.1894
2024-04,3867.9753,-14.8525
2024-05,3869.1006,-14.7792
2024-06,4042.797,-3.9549
2024-07,4036.9219,-0.794
2024-08,4065.5465,-0.1272
2024-09,4182.5123,4.4448
2024-10,4249.47,0.6403
2024-11,4408.6523,9.1574
2024-12,4385.1487,11.0668
2025-01,4307.5674,10.0217
2025-02,4127.9539,4.9986
2025-03,4137.6845,6.1124
2025-04,4280.258,10.6589
2025-05,4203.3771,8.6396
2025-06,4113.485,1.7485
2025-07,4040.8484,0.0973
2025-08,4047.4116,-0.4461
2025-09,3922.212,-6.2235
2025-10,3877.8448,-8.7452
2025-11,3786.1833,-14.1193
2025-12,3791.4719,-13.5384
2026-01,3702.999,-14.035
2026-02,3675.6414,-10.9573
2026-03,3717.5574,-10.1537
2026-04,3617.5187,-15.4836
2026-05,3725.2204,-11.3755
